Date,County,Total_Cases,Negatives,Deaths
4/27/20,Somerset,25,503,0
4/27/20,Sullivan,1,26,0
4/27/20,Susquehanna,81,241,4
4/27/20,Tioga,14,212,1
4/27/20,Union,31,491,0
4/27/20,Venango,7,231,0
4/27/20,Warren,1,160,0
4/27/20,Washington,107,1970,2
4/27/20,Wayne,93,487,3
4/27/20,Westmoreland,377,4188,19
4/27/20,Wyoming,18,128,2
4/27/20,York,606,6509,9
4/26/20,Adams,117,1408,1
4/26/20,Allegheny,1211,14399,73
4/26/20,Armstrong,46,602,2
4/26/20,Beaver,366,1864,46
4/26/20,Bedford,21,158,1
4/26/20,Berks,2491,4954,88
4/26/20,Blair,21,868,0
4/26/20,Bradford,28,516,2
4/26/20,Bucks,2504,7265,141
4/26/20,Butler,170,2030,6
4/26/20,Cambria,21,912,1
4/26/20,Cameron,1,38,0
4/26/20,Carbon,163,925,12
4/26/20,Centre,81,811,1
4/26/20,Chester,1177,4756,82
4/26/20,Clarion,22,463,1
4/26/20,Clearfield,11,383,0
4/26/20,Clinton,21,174,0
4/26/20,Columbia,269,469,7
4/26/20,Crawford,19,628,0
4/26/20,Cumberland,267,1230,8
4/26/20,Dauphin,519,3063,18
4/26/20,Delaware,3281,7815,141
4/26/20,Elk,3,147,0
4/26/20,Erie,77,1556,0
4/26/20,Fayette,79,1622,4
4/26/20,Forest,7,26,0
4/26/20,Franklin,205,2576,2
4/26/20,Fulton,3,72,0
4/26/20,Greene,25,392,0
4/26/20,Huntingdon,22,228,0
4/26/20,Indiana,63,590,4
4/26/20,Jefferson,4,297,0
4/26/20,Juniata,78,111,0
4/26/20,Lackawanna,793,2025,63
4/26/20,Lancaster,1577,6911,74
4/26/20,Lawrence,61,644,5
4/26/20,Lebanon,612,2339,7
4/26/20,Lehigh,2601,6694,51
4/26/20,Luzerne,2008,4238,67
4/26/20,Lycoming,55,980,0
4/26/20,McKean,5,150,0
4/26/20,Mercer,65,637,1
4/26/20,Mifflin,27,609,0
4/26/20,Monroe,1065,2376,45
4/26/20,Montgomery,3733,14668,217
4/26/20,Montour,47,2940,0
4/26/20,Northampton,1813,5768,49
4/26/20,Northumberland,90,453,0
4/26/20,Perry,26,176,1
