Date,County,Total_Cases,Negatives,Deaths
2020-04-28,Wyoming,18,135,2
2020-04-28,York,614,6644,9
2020-04-27,Adams,122,1434,1
2020-04-27,Allegheny,1224,14765,79
2020-04-27,Armstrong,47,606,2
2020-04-27,Beaver,387,1898,46
2020-04-27,Bedford,21,162,1
2020-04-27,Berks,2526,5072,89
2020-04-27,Blair,21,886,0
2020-04-27,Bradford,28,522,2
2020-04-27,Bucks,2585,7497,148
2020-04-27,Butler,170,2041,6
2020-04-27,Cambria,21,938,1
2020-04-27,Cameron,1,45,0
2020-04-27,Carbon,164,948,12
2020-04-27,Centre,87,831,1
2020-04-27,Chester,1214,4895,81
2020-04-27,Clarion,22,464,1
2020-04-27,Clearfield,11,395,0
2020-04-27,Clinton,25,193,0
2020-04-27,Columbia,277,510,7
2020-04-27,Crawford,19,630,0
2020-04-27,Cumberland,282,1275,9
2020-04-27,Dauphin,529,3158,21
2020-04-27,Delaware,3361,7957,142
2020-04-27,Elk,3,148,0
2020-04-27,Erie,81,1621,0
2020-04-27,Fayette,79,1648,4
2020-04-27,Forest,7,26,0
2020-04-27,Franklin,227,2630,2
2020-04-27,Fulton,3,74,0
2020-04-27,Greene,25,393,0
2020-04-27,Huntingdon,24,233,0
2020-04-27,Indiana,63,598,4
2020-04-27,Jefferson,4,305,0
2020-04-27,Juniata,79,117,0
2020-04-27,Lackawanna,833,2107,63
2020-04-27,Lancaster,1633,7125,75
2020-04-27,Lawrence,63,667,5
2020-04-27,Lebanon,621,2397,7
2020-04-27,Lehigh,2636,6805,56
2020-04-27,Luzerne,2035,4362,71
2020-04-27,Lycoming,57,1010,0
2020-04-27,McKean,5,155,0
2020-04-27,Mercer,65,664,1
2020-04-27,Mifflin,30,622,0
2020-04-27,Monroe,1083,2441,46
2020-04-27,Montgomery,3817,15022,232
2020-04-27,Montour,48,2942,0
2020-04-27,Northampton,1834,5843,49
2020-04-27,Northumberland,90,473,0
2020-04-27,Perry,26,182,1
2020-04-27,Philadelphia,11361,25299,274
2020-04-27,Pike,352,1120,12
2020-04-27,Potter,4,73,0
2020-04-27,Schuylkill,324,1825,5
2020-04-27,Snyder,33,177,1
2020-04-27,Somerset,25,503,0
2020-04-27,Sullivan,1,26,0
2020-04-27,Susquehanna,81,241,4
2020-04-27,Tioga,14,212,1
2020-04-27,Union,31,491,0
2020-04-27,Venango,7,231,0
2020-04-27,Warren,1,160,0
2020-04-27,Washington,107,1970,2
2020-04-27,Wayne,93,487,3
2020-04-27,Westmoreland,377,4188,19
2020-04-27,Wyoming,18,128,2
2020-04-27,York,606,6509,9
2020-04-26,Adams,117,1408,1
2020-04-26,Allegheny,1211,14399,73
2020-04-26,Armstrong,46,602,2
2020-04-26,Beaver,366,1864,46
2020-04-26,Bedford,21,158,1
2020-04-26,Berks,2491,4954,88
2020-04-26,Blair,21,868,0
2020-04-26,Bradford,28,516,2
2020-04-26,Bucks,2504,7265,141
2020-04-26,Butler,170,2030,6
2020-04-26,Cambria,21,912,1
2020-04-26,Cameron,1,38,0
2020-04-26,Carbon,163,925,12
2020-04-26,Centre,81,811,1
2020-04-26,Chester,1177,4756,82
2020-04-26,Clarion,22,463,1
2020-04-26,Clearfield,11,383,0
2020-04-26,Clinton,21,174,0
2020-04-26,Columbia,269,469,7
2020-04-26,Crawford,19,628,0
2020-04-26,Cumberland,267,1230,8
2020-04-26,Dauphin,519,3063,18
2020-04-26,Delaware,3281,7815,141
2020-04-26,Elk,3,147,0
2020-04-26,Erie,77,1556,0
2020-04-26,Fayette,79,1622,4
2020-04-26,Forest,7,26,0
2020-04-26,Franklin,205,2576,2
2020-04-26,Fulton,3,72,0
2020-04-26,Greene,25,392,0
2020-04-26,Huntingdon,22,228,0
2020-04-26,Indiana,63,590,4
2020-04-26,Jefferson,4,297,0
2020-04-26,Juniata,78,111,0
2020-04-26,Lackawanna,793,2025,63
2020-04-26,Lancaster,1577,6911,74
2020-04-26,Lawrence,61,644,5
2020-04-26,Lebanon,612,2339,7
2020-04-26,Lehigh,2601,6694,51
2020-04-26,Luzerne,2008,4238,67
2020-04-26,Lycoming,55,980,0
2020-04-26,McKean,5,150,0
2020-04-26,Mercer,65,637,1
2020-04-26,Mifflin,27,609,0
2020-04-26,Monroe,1065,2376,45
2020-04-26,Montgomery,3733,14668,217
2020-04-26,Montour,47,2940,0
2020-04-26,Northampton,1813,5768,49
